,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-1231,1.28476445,-0.377852058,0.702187319,-0.538107209,0.590503036,NA
hsa-miR-1233-3p,7.380984664,1.854410653,0.439647747,4.217946444,2.47E-05,0.000478009
hsa-miR-1233-5p,0.449723776,0.856730382,0.749545661,1.142999588,0.253038762,NA
hsa-miR-1234-3p,2.348146212,-0.037897699,0.551411128,-0.068728571,0.945205676,0.980803114
hsa-miR-1236-3p,0.527095745,0.203144345,0.748043468,0.271567567,0.78595454,NA
hsa-miR-1236-5p,0.602067438,-0.116541516,0.748150881,-0.155772745,0.876212155,NA
hsa-miR-1237-3p,2.272366903,0.314288759,0.588709425,0.533860586,0.593437993,0.799651967
hsa-miR-1237-5p,0.42069386,-0.270611041,0.732880707,-0.369242959,0.711946638,NA
hsa-miR-1238-3p,0.797924146,1.369833761,0.751286077,1.823318443,0.068255175,NA
hsa-miR-124-3p,4542.993431,0.529100771,0.435622996,1.214584114,0.224524751,0.464813919
hsa-miR-124-5p,25.67995654,-0.010193528,0.444160384,-0.022950107,0.981690071,0.996102701
hsa-miR-1243,17.19011866,-0.183744887,0.289646234,-0.634376925,0.525834865,0.755144386
hsa-miR-1244,0.373335505,-0.078605876,0.689534029,-0.113998544,0.909238947,NA
hsa-miR-1246,974.2751349,-0.240281561,0.301780151,-0.796213933,0.4259077,0.68080208
hsa-miR-1247-3p,1.234045576,-1.00747473,0.738766797,-1.363724973,0.172654141,NA
hsa-miR-1247-5p,26.08582128,-0.951360902,0.430620903,-2.209277104,0.027155373,0.113091234
hsa-miR-1248,138.1194476,1.225997926,0.578640741,2.118754935,0.034111183,0.132275588
hsa-miR-1249-3p,548.2854814,0.003604615,0.167037779,0.021579638,0.982783276,0.996102701
hsa-miR-1249-5p,0.518783062,0.36560872,0.75233296,0.485966639,0.626990819,NA
hsa-miR-1250-3p,1.633361277,-0.273637104,0.687925132,-0.397771634,0.690798528,0.85753737
hsa-miR-1250-5p,21.20761228,0.501279166,0.35048471,1.430245463,0.152646581,0.369101549
hsa-miR-1251-3p,0.323110557,-0.214618986,0.681586135,-0.314881678,0.752851493,NA
hsa-miR-1251-5p,18.15810395,0.029220771,0.301376136,0.096957811,0.922759898,0.972354153
