"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"249.9677@0.5902667",2.84048786602931e-07,0,0,0,0.9636,0.7795,0.7525,7.31971873169091e-06
"250.0701@2.9733353",0.00509100563610421,0.0034,0.0024,0.0019,0.8711,0.693,0.8392,0.0119473687432218
"250.1566@21.95423",0.119734969938198,0.8165,0.0718,0.22,0.0417,0.1736,0.3445,0.168357670217404
"250.193@22.13585",0.00328687305690212,0.2715,0.0014,0.0029,0.0192,0.0447,0.5405,0.0085356780935055
"251.1522@21.116024",0.017267795423047,0.041,0.0409,0.0053,0.9861,0.1552,0.1686,0.0325899237561732
"251.9488@1.6073604",0.0038702637875212,0.0011,0.007,0.0012,0.3592,0.8285,0.4416,0.0096937448136045
"252.0998@14.554026",0.933191260346816,0.5872,0.5741,0.6212,0.9703,0.9327,0.9045,0.936686358700175
"252.2086@22.45789",0.00117393351757422,0.0643,0.001,0.0011,0.0241,0.0192,0.8783,0.0040129360039527
"253.0946@5.1623387",0.00263809164385365,0.2501,0.0041,0.0152,0.0034,0.02,0.2663,0.0073646725057581
"254.1306@8.516798",0.00484981906355508,0.4747,0.0133,0.0343,0.0025,0.0059,0.5089,0.0114579064325644
"255.0831@0.70661557",0.529618750256761,0.2946,0.3204,0.1782,0.9418,0.5135,0.4737,0.57319624327805
"255.0883@3.9262104",0.0266292222836916,0.5542,0.0106,0.0234,0.0384,0.0875,0.5491,0.0473879918461444
"256.2394@21.404896",0.581475837551378,0.7555,0.225,0.6146,0.2824,0.812,0.3879,0.623841170791711
"256.2397@22.189665",9.47351556966902e-05,0.0024,1e-04,0,0.1171,0.0552,0.7761,0.000610313022276754
"258.0353@1.3007859",0.00211319080778249,0.2491,0.0025,0.0247,0.0019,0.0564,0.0718,0.00627866004973069
"258.1616@8.517009",0.00924964042781362,0.5793,0.0122,0.0632,0.0034,0.0177,0.3308,0.0193362217991736
"258.1834@19.178156",0.00459598511832227,0.3867,0.0408,0.0583,0.0013,0.0021,0.5265,0.0109779323681851
"258.1855@21.801985",0.675575461739077,0.2326,0.538,0.6297,0.5865,0.4259,0.849,0.706690959196224
"260.0282@0.71229637",5.86686927928071e-08,1e-04,0,0,0,3e-04,0.1345,3.14464193369446e-06
"260.2501@22.732069",0.00480987055010185,0.0044,0.0058,9e-04,0.9091,0.4348,0.3881,0.0113873260373436
"262.0462@3.66033",0.00218203507912673,0.2915,8e-04,0.0139,0.0025,0.0568,0.0715,0.00641212062725838
"262.9098@5.351208",0.0200769838171398,0.6282,0.0358,0.0475,0.0126,0.0153,0.7304,0.0371590584460876
"265.9416@0.5951593",0.000288056095911315,0.0018,8e-04,0,0.6612,0.0862,0.2268,0.00141390171619474
"266.0798@0.68055016",0.634116248499637,0.6782,0.2987,0.4598,0.3135,0.5848,0.5729,0.669594777769515
"266.1549@20.887104",0.709129439099554,0.5125,0.8819,0.8991,0.3381,0.3053,0.9706,0.737758888504194
"267.1106@18.86651",0.752344876757961,0.3246,0.692,0.402,0.5774,0.833,0.6982,0.776090942921992
"268.0814@1.8423966",0.465036150938836,0.5309,0.2109,0.3998,0.2173,0.6601,0.3605,0.513301847000033
"268.2399@22.794453",0.74141777197492,0.8914,0.3329,0.5099,0.4007,0.606,0.6904,0.767774199726733
"270.2193@21.858137",0.00536765042379794,0.0938,0.0043,0.0011,0.1653,0.0715,0.7225,0.0124872423053633
"270.2556@23.033073",2.68231103994765e-09,0,0,0,0.0464,0.0147,0.7704,5.13470970504264e-07
"272.077@3.6593232",0.0014846829617926,0.4802,0.0042,0.0176,0.0015,0.0085,0.2622,0.00479391606940263
